Symbol ID,Allow Short
Futures / FORTS / Eu / H2021,Yes
Futures / FORTS / Eu / M2021,Yes
Futures / FORTS / Eu / U2020,Yes
Futures / FORTS / Eu / U2021,Yes
Futures / FORTS / Eu / Z2020,Yes
Futures / FORTS / Eu / Z2021,Yes
Futures / FORTS / FEES / U2020,Yes
Futures / FORTS / FEES / Z2020,Yes
Futures / FORTS / GAZR / H2021,Yes
Futures / FORTS / GAZR / M2021,Yes
Futures / FORTS / GAZR / U2020,Yes
Futures / FORTS / GAZR / Z2020,Yes
Futures / FORTS / GBPU / U2020,Yes
Futures / FORTS / GBPU / Z2020,Yes
Futures / FORTS / GMKR / U2020,Yes
Futures / FORTS / GMKR / Z2020,Yes
Futures / FORTS / GOLD / H2021,Yes
Futures / FORTS / GOLD / M2021,Yes
Futures / FORTS / GOLD / U2020,Yes
Futures / FORTS / GOLD / Z2020,Yes
Futures / FORTS / HYDR / U2020,Yes
Futures / FORTS / HYDR / Z2020,Yes
Futures / FORTS / LKOH / H2021,Yes
Futures / FORTS / LKOH / M2021,Yes
Futures / FORTS / LKOH / U2020,Yes
Futures / FORTS / LKOH / Z2020,Yes
Futures / FORTS / MAGN / U2020,Yes
Futures / FORTS / MAGN / Z2020,Yes
Futures / FORTS / MGNT / U2020,Yes
Futures / FORTS / MGNT / Z2020,Yes
Futures / FORTS / MIX / H2021,Yes
Futures / FORTS / MIX / M2021,Yes
Futures / FORTS / MIX / U2020,Yes
Futures / FORTS / MIX / Z2020,Yes
Futures / FORTS / MOEX / H2021,Yes
Futures / FORTS / MOEX / U2020,Yes
Futures / FORTS / MOEX / Z2020,Yes
Futures / FORTS / MTSI / U2020,Yes
Futures / FORTS / MTSI / Z2020,Yes
Futures / FORTS / MXI / H2021,Yes
Futures / FORTS / MXI / M2021,Yes
Futures / FORTS / MXI / U2020,Yes
Futures / FORTS / MXI / Z2020,Yes
Futures / FORTS / NG / Q2020,Yes
Futures / FORTS / NG / U2020,Yes
Futures / FORTS / NLMK / U2020,Yes
Futures / FORTS / NLMK / Z2020,Yes
Futures / FORTS / NOTK / U2020,Yes
Futures / FORTS / NOTK / Z2020,Yes
Futures / FORTS / PLD / H2021,Yes
Futures / FORTS / PLD / U2020,Yes
Futures / FORTS / PLD / Z2020,Yes
Futures / FORTS / PLT / H2021,Yes
Futures / FORTS / PLT / U2020,Yes
Futures / FORTS / PLT / Z2020,Yes
Futures / FORTS / PLZL / U2020,Yes
Futures / FORTS / PLZL / Z2020,Yes
Futures / FORTS / ROSN / H2021,Yes
Futures / FORTS / ROSN / M2021,Yes
Futures / FORTS / ROSN / U2020,Yes
Futures / FORTS / ROSN / Z2020,Yes
Futures / FORTS / RTKM / U2020,Yes
Futures / FORTS / RTKM / Z2020,Yes
Futures / FORTS / RTS / H2021,Yes
Futures / FORTS / RTS / H2022,Yes
Futures / FORTS / RTS / M2021,Yes
Futures / FORTS / RTS / M2022,Yes
Futures / FORTS / RTS / U2020,Yes
Futures / FORTS / RTS / U2021,Yes
Futures / FORTS / RTS / Z2020,Yes
Futures / FORTS / RTS / Z2021,Yes
Futures / FORTS / RTSS / U2020,Yes
Futures / FORTS / RTSS / Z2020,Yes
Futures / FORTS / SBPR / U2020,Yes
Futures / FORTS / SBPR / Z2020,Yes
Futures / FORTS / SBRF / H2021,Yes
Futures / FORTS / SBRF / M2021,Yes
Futures / FORTS / SBRF / U2020,Yes
Futures / FORTS / SBRF / Z2020,Yes
Futures / FORTS / SILV / H2021,Yes
Futures / FORTS / SILV / M2021,Yes
Futures / FORTS / SILV / U2020,Yes
Futures / FORTS / SILV / Z2020,Yes
Futures / FORTS / SNGP / U2020,Yes
Futures / FORTS / SNGP / Z2020,Yes
Futures / FORTS / SNGR / H2021,Yes
Futures / FORTS / SNGR / U2020,Yes
Futures / FORTS / SNGR / Z2020,Yes
Futures / FORTS / Si / H2021,Yes
Futures / FORTS / Si / H2022,Yes
Futures / FORTS / Si / M2021,Yes
Futures / FORTS / Si / M2022,Yes
Futures / FORTS / Si / U2020,Yes
Futures / FORTS / Si / U2021,Yes
Futures / FORTS / Si / Z2020,Yes
Futures / FORTS / Si / Z2021,Yes
Futures / FORTS / TATN / U2020,Yes
Futures / FORTS / TATN / Z2020,Yes
Futures / FORTS / TRNF / U2020,Yes
Futures / FORTS / TRNF / Z2020,Yes
Futures / FORTS / UCAD / U2020,Yes
Futures / FORTS / UCAD / Z2020,Yes
Futures / FORTS / UCHF / U2020,Yes
Futures / FORTS / UCHF / Z2020,Yes
Futures / FORTS / UJPY / U2020,Yes
Futures / FORTS / UJPY / Z2020,Yes
Futures / FORTS / VTBR / H2021,Yes
Futures / FORTS / VTBR / M2021,Yes
Futures / FORTS / VTBR / U2020,Yes
Futures / FORTS / VTBR / Z2020,Yes
Futures / FORTS / YNDF / U2020,Yes
Futures / FORTS / YNDF / Z2020,Yes
Futures / HKEX / DHH / Z2020,Yes
Futures / HKEX / DHS / Z2020,Yes
Futures / HKEX / DHS / Z2021,Yes
Futures / HKEX / HHI / U2020,Yes
Futures / HKEX / HSI / Q2020,Yes
Futures / HKEX / HSI / U2020,Yes
Futures / HKEX / HSI / Z2020,Yes
Futures / HKEX / HSI / Z2021,Yes
Futures / HKEX / HSI / Z2022,Yes
Futures / HKEX / MCH / U2020,Yes
Futures / HKEX / MCH / Z2020,Yes
Futures / HKEX / MHI / Q2020,Yes
Futures / HKEX / MHI / U2020,Yes
Futures / HKEX / MHI / Z2020,Yes
Futures / ICE / G / H2021,Yes
Futures / OE / TOPIX / U2020,Yes
Futures / OE / TOPIX / Z2020,Yes
Futures / SGX / CN / H2021,Yes
Futures / SGX / CN / M2021,Yes
Futures / SGX / CN / Q2020,Yes
Futures / SGX / CN / U2020,Yes
Futures / SGX / CN / Z2020,Yes
Futures / SGX / IN / U2020,Yes
Futures / SGX / IN / Z2020,Yes
Futures / SGX / IU / Q2020,Yes
Futures / SGX / IU / U2020,Yes
Futures / SGX / IU / V2020,Yes
Futures / SGX / IU / X2020,Yes
Futures / SGX / NK / V2020,Yes
Futures / SGX / NK / X2020,Yes
Futures / SGX / NK / Z2020,Yes
Futures / SGX / TF / F2021,Yes
Futures / SGX / TF / G2021,Yes
Futures / SGX / TF / V2020,Yes
Futures / SGX / TF / X2020,Yes
Futures / SGX / TF / Z2020,Yes
Futures / SGX / TW / H2021,Yes
Futures / SGX / TW / Q2020,Yes
Futures / SGX / TW / U2020,Yes
Futures / SGX / TW / Z2020,Yes
Futures / SGX / UC / F2021,Yes
Futures / SGX / UC / G2021,Yes
Futures / SGX / UC / H2021,Yes
Futures / TOCOM / CO / Q2020,Yes
Futures / TOCOM / CO / U2020,Yes
Futures / TOCOM / CO / V2020,Yes
Futures / TOCOM / CO / X2020,Yes
Futures / TOCOM / CO / Z2020,Yes
Futures / TOCOM / GD / G2021,Yes
Futures / TOCOM / GD / V2020,Yes
Futures / TOCOM / GD / Z2020,Yes
Futures / TOCOM / PL / G2021,Yes
Futures / TOCOM / PL / V2020,Yes
Futures / TOCOM / PL / Z2020,Yes
