TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
OGZD.UK,D,20130731,000000,6.6229,6.6229,6.6229,6.6229,23543934,0
OGZD.UK,D,20130802,000000,6.6485,6.6485,6.6485,6.6485,30380007,0
OGZD.UK,D,20130805,000000,6.64,6.64,6.64,6.64,12236901,0
OGZD.UK,D,20130806,000000,6.4775,6.4775,6.4775,6.4775,31308440,0
OGZD.UK,D,20130807,000000,6.4306,6.4306,6.4306,6.4306,26497066,0
OGZD.UK,D,20130808,000000,6.4562,6.4562,6.4562,6.4562,12890963,0
OGZD.UK,D,20130809,000000,6.6101,6.6101,6.6101,6.6101,17251118,0
OGZD.UK,D,20130812,000000,6.6528,6.6528,6.6528,6.6528,17560479,0
OGZD.UK,D,20130813,000000,6.781,6.781,6.781,6.781,20954840,0
OGZD.UK,D,20130814,000000,6.9134,6.9134,6.9134,6.9134,22474052,0
OGZD.UK,D,20130815,000000,6.7638,6.7638,6.7638,6.7638,26252828,0
OGZD.UK,D,20130816,000000,6.7852,6.7852,6.7852,6.7852,28902180,0
OGZD.UK,D,20130819,000000,6.8279,6.8279,6.8279,6.8279,14767242,0
OGZD.UK,D,20130820,000000,6.8323,6.8323,6.8323,6.8323,26815470,0
OGZD.UK,D,20130821,000000,6.7895,6.7895,6.7895,6.7895,27653645,0
OGZD.UK,D,20130822,000000,6.8963,6.8963,6.8963,6.8963,24372573,0
OGZD.UK,D,20130823,000000,6.8536,6.8536,6.8536,6.8536,14995678,0
OGZD.UK,D,20130827,000000,6.7339,6.7339,6.7339,6.7339,23411002,0
OGZD.UK,D,20130828,000000,6.781,6.781,6.781,6.781,23583355,0
OGZD.UK,D,20130829,000000,6.7169,6.7169,6.7169,6.7169,27476979,0
OGZD.UK,D,20130830,000000,6.7169,6.7169,6.7169,6.7169,26415481,0
OGZD.UK,D,20130902,000000,6.7083,6.7083,6.7083,6.7083,9573122,0
OGZD.UK,D,20130903,000000,6.6912,6.6912,6.6912,6.6912,16063364,0
OGZD.UK,D,20130904,000000,6.7339,6.7339,6.7339,6.7339,15101431,0
OGZD.UK,D,20130905,000000,7.11,7.11,7.11,7.11,59355752,0
OGZD.UK,D,20130906,000000,7.2467,7.2467,7.2467,7.2467,48062855,0
OGZD.UK,D,20130909,000000,7.58,7.58,7.58,7.58,76392718,0
OGZD.UK,D,20130910,000000,7.5672,7.5672,7.5672,7.5672,68151394,0
OGZD.UK,D,20130911,000000,7.6397,7.6397,7.6397,7.6397,31771642,0
OGZD.UK,D,20130912,000000,7.5842,7.5842,7.5842,7.5842,25895076,0
OGZD.UK,D,20130913,000000,7.4432,7.4432,7.4432,7.4432,35175736,0
OGZD.UK,D,20130916,000000,7.691,7.691,7.691,7.691,48246422,0
OGZD.UK,D,20130917,000000,7.7082,7.7082,7.7082,7.7082,20623542,0
OGZD.UK,D,20130918,000000,7.6483,7.6483,7.6483,7.6483,38314356,0
OGZD.UK,D,20130919,000000,7.9901,7.9901,7.9901,7.9901,55394229,0
OGZD.UK,D,20130920,000000,7.8876,7.8876,7.8876,7.8876,62251948,0
OGZD.UK,D,20130923,000000,7.7808,7.7808,7.7808,7.7808,29504861,0
OGZD.UK,D,20130924,000000,7.7082,7.7082,7.7082,7.7082,26314651,0
OGZD.UK,D,20130925,000000,7.7038,7.7038,7.7038,7.7038,24105879,0
OGZD.UK,D,20130926,000000,7.6996,7.6996,7.6996,7.6996,21915773,0
OGZD.UK,D,20130927,000000,7.6355,7.6355,7.6355,7.6355,22834838,0
OGZD.UK,D,20130930,000000,7.5287,7.5287,7.5287,7.5287,18686772,0
OGZD.UK,D,20131001,000000,7.7124,7.7124,7.7124,7.7124,22088330,0
OGZD.UK,D,20131002,000000,7.5586,7.5586,7.5586,7.5586,36873575,0
OGZD.UK,D,20131003,000000,7.5415,7.5415,7.5415,7.5415,16269418,0
OGZD.UK,D,20131004,000000,7.6654,7.6654,7.6654,7.6654,24084634,0
OGZD.UK,D,20131007,000000,7.7594,7.7594,7.7594,7.7594,28252619,0
OGZD.UK,D,20131008,000000,8.0115,8.0115,8.0115,8.0115,47892127,0
OGZD.UK,D,20131009,000000,7.9559,7.9559,7.9559,7.9559,39956550,0
OGZD.UK,D,20131010,000000,8.1013,8.1013,8.1013,8.1013,38671033,0
OGZD.UK,D,20131011,000000,8.1013,8.1013,8.1013,8.1013,27599800,0
OGZD.UK,D,20131014,000000,8.0585,8.0585,8.0585,8.0585,15874938,0
OGZD.UK,D,20131015,000000,8.2465,8.2465,8.2465,8.2465,22063264,0
OGZD.UK,D,20131016,000000,8.3747,8.3747,8.3747,8.3747,39523154,0
OGZD.UK,D,20131017,000000,8.2678,8.2678,8.2678,8.2678,39573206,0
OGZD.UK,D,20131018,000000,8.3876,8.3876,8.3876,8.3876,22709258,0
OGZD.UK,D,20131021,000000,8.3235,8.3235,8.3235,8.3235,16919516,0
OGZD.UK,D,20131022,000000,8.2465,8.2465,8.2465,8.2465,31714450,0
OGZD.UK,D,20131023,000000,8.0713,8.0713,8.0713,8.0713,51655814,0
OGZD.UK,D,20131024,000000,8.0969,8.0969,8.0969,8.0969,21045835,0
OGZD.UK,D,20131025,000000,8.0414,8.0414,8.0414,8.0414,33793118,0
OGZD.UK,D,20131028,000000,8.0372,8.0372,8.0372,8.0372,12822188,0
OGZD.UK,D,20131029,000000,8.0927,8.0927,8.0927,8.0927,21984020,0
OGZD.UK,D,20131030,000000,8.0244,8.0244,8.0244,8.0244,16121334,0
OGZD.UK,D,20131031,000000,7.9987,7.9987,7.9987,7.9987,19486680,0
OGZD.UK,D,20131101,000000,7.8833,7.8833,7.8833,7.8833,23046797,0
OGZD.UK,D,20131104,000000,7.9176,7.9176,7.9176,7.9176,9930446,0
OGZD.UK,D,20131105,000000,7.7808,7.7808,7.7808,7.7808,19908514,0
OGZD.UK,D,20131106,000000,7.785,7.785,7.785,7.785,26667785,0
OGZD.UK,D,20131107,000000,7.8064,7.8064,7.8064,7.8064,23069769,0
OGZD.UK,D,20131108,000000,7.691,7.691,7.691,7.691,23858152,0
OGZD.UK,D,20131111,000000,7.5543,7.5543,7.5543,7.5543,18991288,0
OGZD.UK,D,20131112,000000,7.5628,7.5628,7.5628,7.5628,37570499,0
